sensor-id,sensor-name,latitude,longitude,URL
WWS418,Eng Kong Place (Unit 65),1.334384,103.76685,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS418
WWS426,Bt Timah Canal (Sime Darby Centre),1.336086,103.783297,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS426
CWS020,Happy Ave OD (Jln Setia),1.337119,103.880717,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS020
CWS032,Stamford Canal (Forum),1.3067141,103.828551,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS032
CWS035,Lor Chuan OD (Serangoon Ave 2),1.35289,103.866666,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS035
CWS082,Ubi Ave 2/ Eunos Link,1.3311071,103.901187,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS082
CWS135,Arumugam Rd,1.3256447,103.8917348,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS135
CWS146,Stamford Canal Tributary 1 (The Regent Singapore),1.3048295,103.8245988,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS146
CWS156,Jln Seaview,1.301663,103.8968116,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS156
CWS245,Whitley Rd OD (Merryn Dr),1.32395,103.826504,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS245
CWS313,Serangoon Gdn OD2 (Colchester Gr Pk),1.3574218,103.8674822,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS313
EWS047,Chin Cheng Ave/ Jamiyah Children's Home,1.317228,103.906299,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS047
EWS058,Aviation Dr,1.3878,103.989499,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS058
EWS083,Ang Mo Kio Ave 5/ Luxus Hill Rd,1.378733,103.868619,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS083
EWS086,Tampines Rd / Hougang Ave 3,1.3618378,103.8936989,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS086
EWS144,Bedok Canal (NEWater Visitor Centre),1.3229933,103.9587864,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS144
WWS060,Sg Pandan Kechil (College Link),1.302878,103.773364,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS060
WWS091,JIE OD (Enterprise Rd),1.33351,103.707011,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS091
WWS097,Sg Pandan Kechil(Clementi West Street 2),1.302088,103.764653,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS097
WWS103,Upp Bt Timah OD (ESPA),1.369412,103.764809,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS103
WWS226,Neo Tiew OD 5 (Neo Tiew Lane 2),1.420298,103.7203,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS226
WWS240,Bt Batok Canal (Bt Batok West Ave 2),1.3623493,103.7428769,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS240
WWS261,Gombak OD (CCK Rd d/s culvert),1.3796028,103.7597262,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS261
WWS312,Bukit Timah 1st Diversion Canal (Pine Grove),1.318603,103.772563,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS312
WWS319,Jln Terusan OD,1.322262,103.722926,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS319
CWS011,Bt Timah 2nd Diversion Canal (Jln Tenteram),1.3293015,103.8592798,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS011
CWS039,Sg Namly,1.322988,103.798145,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS039
CWS041,Camp Rd OD (Rochalie Dr),1.3057526,103.8279911,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS041
CWS048,Stamford Canal (Wisma Atria) s'pore,1.304091,103.833281,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=CWS048
